Date,Close/Last,Volume,Open,High,Low,Daily Return,Rolling Weekly Volatility
2024-05-03,183.38,163224100,186.65,187.0,182.66,,
2024-05-02,173.03,94214920,172.51,173.42,170.89,-0.05644017886356201,
2024-05-01,169.3,50383150,169.58,172.71,169.11,-0.021556955441252912,
2024-04-30,170.33,65934780,173.33,174.99,170.0,0.006083874778499698,
2024-04-29,173.5,68169420,173.37,176.03,173.1,0.018610931720777213,
2024-04-26,169.3,44838350,169.88,171.34,169.18,-0.02420749279538903,0.029231937497385306
2024-04-25,169.89,50558330,169.53,170.61,168.15,0.003484937979917113,0.018603667505678146
2024-04-24,169.02,48251840,166.54,169.3,166.21,-0.005120960621578519,0.015870476861468204
2024-04-23,166.9,49537760,165.35,167.05,164.92,-0.012542894332031707,0.016200685241545994
2024-04-22,165.84,48116440,165.52,167.26,164.77,-0.006351108448172549,0.010268196133542164
2024-04-19,165.0,68149380,166.21,166.4,164.08,-0.00506512301013029,0.005715394859787875
2024-04-18,167.04,43122900,168.03,168.64,166.55,0.012363636363636354,0.009307417058848765
2024-04-17,168.0,50901210,169.61,170.65,168.0,0.005747126436781658,0.010029513252557845
2024-04-16,169.38,73711240,171.75,173.76,168.27,0.00821428571428573,0.008290068465224794
2024-04-15,172.69,73531770,175.36,176.63,172.5,0.01954185854292123,0.009054640334327492
2024-04-12,176.55,101670900,174.26,178.36,174.21,0.022352191788754583,0.007143162461383877
2024-04-11,175.04,91070280,168.34,175.46,168.16,-0.008552817898612397,0.01232529231119276
2024-04-10,167.78,49709340,168.8,169.09,167.11,-0.0414762340036563,0.026183996194271614
2024-04-09,169.67,42451210,168.7,170.08,168.35,0.011264751460245526,0.026456893963542085
2024-04-08,169.67,37425510,169.03,169.2,168.24,0.0,0.024321144721547915
2024-04-05,169.58,42104830,169.59,170.39,168.95,-0.0005304414451581252,0.020073548059104326
2024-04-04,168.82,53704390,170.29,171.92,168.82,-0.00448166057318089,0.020120878959002737
2024-04-03,169.65,47691720,168.79,170.68,168.58,0.004916479090155246,0.006051511284213222
2024-04-02,168.84,49329480,169.08,169.34,168.23,-0.004774535809018543,0.003955721148866852
2024-04-01,170.03,46240500,171.19,171.25,169.48,0.0070480928689884426,0.005386593128520233
2024-03-28,171.48,65672690,171.75,172.23,170.51,0.00852790683996929,0.0064070906029821935
2024-03-27,173.31,60273270,170.41,173.6,170.11,0.010671798460461845,0.005999424110110263
2024-03-26,169.71,57388450,170.0,171.42,169.58,-0.02077202700363512,0.013138331727887179
2024-03-25,170.85,54288330,170.57,171.94,169.45,0.006717341347003636,0.013068602379403526
2024-03-22,172.28,71160140,171.76,173.05,170.06,0.00836991513023122,0.013197888514473005
2024-03-21,171.37,106181300,177.05,177.49,170.84,-0.005282098908753197,0.013118933815155588
2024-03-20,178.67,53423100,175.72,178.67,175.09,0.04259788761160044,0.023393543957552877
2024-03-19,176.08,55215240,174.34,176.61,173.03,-0.014495998208988503,0.021681811928279258
2024-03-18,173.72,75604180,175.57,177.71,173.52,-0.013402998636983243,0.023659231943305988
2024-03-15,172.62,121752700,171.17,172.62,170.29,-0.006332028551692348,0.02382460055824658
2024-03-14,173.0,72913510,172.91,174.31,172.05,0.002201367164870849,0.02359532514102061
2024-03-13,171.13,52488690,172.77,173.19,170.76,-0.010809248554913276,0.0067919144370479955
2024-03-12,173.23,59825370,173.15,174.03,171.01,0.012271372640682454,0.010492241928728389
2024-03-11,172.75,60139470,172.94,174.38,172.05,-0.002770882641574768,0.008861819459531626
2024-03-08,170.73,76267040,169.0,173.7,168.94,-0.01169319826338644,0.009916534009761098
2024-03-07,169.0,71765060,169.15,170.73,168.49,-0.010132958472441778,0.01009290720435202
2024-03-06,169.12,68587710,171.06,171.24,168.68,0.0007100591715976101,0.009633169602170734
