,Apple Monthly Return,Microsoft Monthly Return,Monthly Inflation Change
2014-05-31,-0.0030621468462815574,-0.0023709665229979526,0.05025067580776055
2014-06-30,-0.001893666885446592,-0.0012045651160151566,0.0071472955810480965
2014-07-31,-0.0011748146160167365,-0.001012430954780849,-0.020723620960982236
2014-08-31,-0.0034132632557801216,-0.002387707923656586,-0.06638742726916169
2014-09-30,0.0020850254118209527,-0.0007984520414246651,-0.004516040442732239
2014-10-31,-0.004182717770326354,-0.0013057907651701712,0.02630180958583117
2014-11-30,-0.0025921169334228197,-0.0012484028076270815,-0.0011571535421840418
2014-12-31,0.002437229659922198,0.0018685625181303546,-0.01896859010367924
2015-01-31,-0.003818624593415626,0.006637225934129148,0.007719151184004236
2015-02-28,-0.0043537364356436,-0.003184645957890078,-0.0019470087762127886
2015-03-31,0.0018284161864033164,0.003478518200944232,0.008663550174725865
2015-04-30,-0.0016813254926095862,-0.008174106655181965,0.03221944445282143
2015-05-31,-0.0005296170932748978,0.0015687743354977023,0.0013882193688494748
2015-06-30,0.0014138350079389774,0.0028096055127033474,0.02293683484224407
2015-07-31,0.0031593995489707094,-0.002280892695110352,0.012712170561649527
2015-08-31,0.004924718598913043,0.005670176867494402,0.018179983337049288
2015-09-30,-0.0006639836130312266,-0.002960891693026073,0.04579046628560568
2015-10-31,-0.004438848037149723,-0.007764849077735084,0.02951507051243607
2015-11-30,0.001710280009781251,-0.0017725277633932669,0.025319290325122035
2015-12-31,0.005026541748021352,0.00044823497071265863,0.017903429555776063
2016-01-31,0.005032357083336124,0.0003487407002706187,0.009592627190925684
2016-02-29,-0.0019345124901480938,0.0021525878581898084,0.03144161090407138
2016-03-31,-0.00404586767912832,-0.002436335396690273,-0.004743026010409546
2016-04-30,0.007851583080156146,0.004637625159411611,0.002064749858879722
2016-05-31,-0.0023093782774091533,-0.0019816608653593255,0.013529112003887178
2016-06-30,0.0012784555416025572,0.001606925189951334,-0.0007986193123220575
2016-07-31,-0.004900090838327542,-0.004938797036249648,0.0023505741275355874
2016-08-31,-0.00025256057237863796,-0.0007574578015715048,0.05708626255275506
2016-09-30,-0.002386142514206689,0.0001883208428489478,-0.03370261605015856
2016-10-31,0.0004807381357471428,-0.001867618788899596,-0.0466820507017871
2016-11-30,0.0009424947707094752,0.0005583332668243175,0.006512491867378012
2016-12-31,-0.002793312276779285,-0.0025961373377562315,0.02649208040772444
2017-01-31,-0.005047712593678677,-0.0007553665458861269,0.025704312791698936
2017-02-28,-0.004303579899247076,-0.0010960994640084015,0.004837203058068784
2017-03-31,-0.001178910847943053,-0.00038981610118683845,-0.08555989981107615
2017-04-30,-0.0010170847015348082,-0.002986497322434512,-0.08245717573687117
2017-05-31,-0.001936455099473418,-0.00041198614873314254,-0.042957106409169166
2017-06-30,0.0030699855854600263,0.0013381314353134418,-0.008190653167784778
2017-07-31,-0.002188524846657325,-0.003098900702926688,0.004555845152157678
2017-08-31,-0.0037620898706708177,-0.0007674863784748296,-0.026611601494903048
2017-09-30,0.0032788345578542654,-0.0004258868794802306,0.007858617178309713
2017-10-31,-0.003632596937343519,-0.004840441866032118,0.04123022692475797
2017-11-30,-0.0011081250895786034,-0.0005823168978963611,-0.035717615096751865
2017-12-31,-0.0003106213963566806,-0.0009140136444134028,0.008278395639971903
2018-01-31,0.001296656706573381,-0.004331178567342389,0.019193873377209236
2018-02-28,-0.0019531562487589724,0.0010694728556037585,-0.016091217861705975
2018-03-31,0.0024468713823159183,0.0025663148185367684,0.11484333529116131
2018-04-30,-0.0005538496443459369,-0.003233244425119905,0.05267044794406228
2018-05-31,-0.005249812117689525,-0.0026489230543102534,0.02071767769361932
2018-06-30,0.00079902610099473,0.0004166474212378305,0.0034149728768186893
2018-07-31,-0.0033905702413754937,-0.0028101092878577163,-0.012987985016636672
2018-08-31,-0.0053839751935117475,-0.0021328866305126786,-0.03426695670436908
2018-09-30,0.00034751940167193336,-0.0017454892947196031,0.012513345636465
2018-10-31,0.0011861363894053842,0.004138384266546273,-0.01934523024051904
2018-11-30,0.009228988770841435,-0.002496537316449303,0.025331686013292165
2018-12-31,0.008644044558459275,0.005777139766814201,-0.00817511421738959
2019-01-31,-0.0020277617568649686,-0.0005847142489370238,-0.033026582410929595
2019-02-28,-0.0025483493592164804,-0.004706479790881989,0.0003743072789081925
2019-03-31,-0.0041372144515508975,-0.0026088708581382706,-0.00799556218309938
2019-04-30,-0.004478532533743492,-0.003366189547331689,0.01520060281398039
2019-05-31,0.00902826950033084,0.003060398235693883,-0.013319274331497377
2019-06-30,-0.0074339176184512416,-0.006106654744612578,0.013424524429847429
2019-07-31,-0.0014598835077887001,-0.0007466925609210504,0.034826592192500394
2019-08-31,0.000856415501345096,0.0008263935771039566,0.062390874029604415
2019-09-30,-0.0043041989874872955,-0.0003193424314712701,-0.002837593398413496
2019-10-31,-0.005548552807331223,-0.0019852904862849878,0.047527692271326805
2019-11-30,-0.0015667420367323215,-0.001968529715696843,0.00888958929915451
2019-12-31,-0.006043764710784626,-0.003374242323700586,-0.007002832951121252
2020-01-31,-0.0011562565012773328,-0.003821116064429364,0.01375967309559778
2020-02-29,0.0022266970111886226,0.0009200672450105158,0.0034463555426227366
2020-03-31,0.011722463031414805,0.008055382050284362,-0.06912179239248883
2020-04-30,-0.00829088152563417,-0.006172367812933706,-0.1639061242951898
2020-05-31,-0.005295039857274047,-0.002246494375182112,-0.07579555669352378
2020-06-30,-0.005403800229707151,-0.004937044541709537,-0.01022570427080538
2020-07-31,-0.00779798138886496,-0.002325775201804078,0.14433541471871214
2020-08-31,-0.009672983565315646,-0.0021863049228384606,-0.029866526862296405
2020-09-30,0.0071762043910164105,0.003550074007848728,-0.10521930516201128
2020-10-31,0.0036032524290832094,0.002405436517796521,-0.11764985105664194
2020-11-30,-0.005852930074788426,-0.003139849487828239,-0.028455854536963643
2020-12-31,-0.0022595583077485134,-0.0002509534837719702,-0.05708766940271515
2021-01-31,-0.0016212772069285006,-0.004883902716046568,-0.1250113233762591
2021-02-28,0.0027212446567150945,0.0006634607926114168,0.003251535625877766
2021-03-31,0.0018583917615534993,-0.0008438829227749155,0.13325737319793363
2021-04-30,-0.003463905555953143,-0.0017602739690298485,0.38749068995444524
2021-05-31,0.0033377226015292305,0.000987793693483252,0.15996791879036465
2021-06-30,-0.004465648465700528,-0.004200831582043304,-0.0018261098592373681
2021-07-31,-0.0026817035155017824,-0.0022224101454582303,-0.0916867495783078
2021-08-31,-0.002067152290364986,-0.0025918734378205144,0.003796699685874927
2021-09-30,0.003272976340450386,0.0021409124204070373,0.11929374610651022
2021-10-31,-0.001991752106097118,-0.006108315724030636,0.15204649242222867
2021-11-30,-0.004692560552433664,-4.724990726329941e-05,0.0587776848281889
2021-12-31,-0.004343153646745363,-0.0004989997538466719,0.08544007255406383
2022-01-31,0.0022811313184049275,0.004234676015493283,0.14727214969775426
2022-02-28,0.0036733599421410247,0.002648664427024985,0.07938624606543732
2022-03-31,-0.002674471108060956,-0.0018778146631857255,0.05935092460722413
2022-04-30,0.00515676714127844,0.0045417433473772025,0.037401441090486376
2022-05-31,0.0033475044520051406,0.002340763324515483,0.052517519906206234
2022-06-30,0.003540761536499737,0.0025550927243453716,0.08995320920691552
2022-07-31,-0.007385710909035598,-0.00319297429141725,0.03602448330624708
2022-08-31,0.0010927883053928093,0.002955409866661883,0.06449640744589713
2022-09-30,0.0052235312127679205,0.003928407073085769,0.06665841078404222
2022-10-31,-0.0023389577354355866,0.002996056312277834,-0.005524717403875834
2022-11-30,0.001149976247898614,-0.004864834980348948,0.01736067439829192
2022-12-31,0.00833081802274385,0.0030445238888685026,0.01800283781673384
2023-01-31,-0.007437110200395952,-0.0024633634713493945,-0.007741160481217313
2023-02-28,0.0001760604578331674,0.001573659432574312,0.005771975077201619
2023-03-31,-0.00573438450524802,-0.006549293834250943,-0.020544674329502022
2023-04-30,-0.0009988951923834742,-0.003026754001362863,-0.019828363437901064
2023-05-31,-0.002649156823829425,-0.003769613534031163,-0.04613005537477588
2023-06-30,-0.0031156509706639925,-0.0006565015509151017,-0.06503002800717284
2023-07-31,-0.0007843338117858089,0.0003973073781925518,-0.032386474695901835
2023-08-31,0.0015207926959813476,0.0010624034913849054,-0.043199548036896296
2023-09-30,0.004442652119170737,0.001134834579016325,-0.04107613261217369
2023-10-31,-3.0941712447168417e-06,-0.0031692591239547456,-0.015493057137730193
2023-11-30,-0.0044614640788732465,-0.00369015726654277,-0.03986030512839833
2023-12-31,0.001557500852844118,0.0005304967122256532,-0.02855986176631886
2024-01-31,-0.00022639151056864332,-0.003987743010625068,0.0108744094716402
2024-02-29,0.0019903249514381773,-0.0013603496816212812,-0.043619321307291736
2024-03-31,0.0028802442966145425,-0.0009910937365419925,0.02409893897725346
